URL,Thumbnail URL,Views,Likes,Time Posted,Title
https://www.youtube.com/watch?v=jyXIhE28Enc,https://i.ytimg.com/vi/jyXIhE28Enc/hqdefault.jpg,25093,379,2024-05-27T09:15:04Z,Biggest Offer for Class 9th & 10th Students 🔥 #4SaalDumdaar
https://www.youtube.com/watch?v=ZLPjqiwBDVE,https://i.ytimg.com/vi/ZLPjqiwBDVE/hqdefault.jpg,11964,1057,2024-05-27T08:08:37Z,Ninja Technique for Self Study 😳 #PW #Shorts #StudyTips
https://www.youtube.com/watch?v=a7ncD7Lk6D0,https://i.ytimg.com/vi/a7ncD7Lk6D0/hqdefault.jpg,29598,1379,2024-05-27T06:40:40Z,Complete 2 Years ROADMAP for Chemistry || How to Crack NEET 2026?
https://www.youtube.com/watch?v=tfEDlFVgOyk,https://i.ytimg.com/vi/tfEDlFVgOyk/hqdefault.jpg,13979,623,2024-05-26T13:30:32Z,1 Day To Go!🔥 Arjuna JEE/NEET 2.0 || Intezaar Hua Khatam ⚡️
https://www.youtube.com/watch?v=IqsoNfx2mto,https://i.ytimg.com/vi/IqsoNfx2mto/hqdefault.jpg,16735,731,2024-05-26T12:26:42Z,Complete 2 Years ROADMAP for Chemistry || How to Crack JEE 2026?
https://www.youtube.com/watch?v=GCloP8v53bo,https://i.ytimg.com/vi/GCloP8v53bo/hqdefault.jpg,12541,597,2024-05-26T08:06:44Z,Offer Valid Till 31st May For Class 9th & 10th Students🤩 #PW #Shorts #4SaalDumdaar #Udaan #Neev
https://www.youtube.com/watch?v=kzn8v4nmyCY,https://i.ytimg.com/vi/kzn8v4nmyCY/hqdefault.jpg,23739,892,2024-05-25T07:31:13Z,The Next Chapter of REVOLUTION Begins at 7 pm Today 🔥🔥 #4SaalDumdaar
https://www.youtube.com/watch?v=qeF-pWwRJBI,https://i.ytimg.com/vi/qeF-pWwRJBI/hqdefault.jpg,28919,3008,2024-05-24T15:30:10Z,25th May ko Aayiega Zarur @PhysicsWallah Channel Pe! ❤❤ #PW #Shorts #4SaalDumdaar
https://www.youtube.com/watch?v=E53KaAyq6-Q,https://i.ytimg.com/vi/E53KaAyq6-Q/hqdefault.jpg,24480,1049,2024-05-24T13:36:18Z,Complete 2 Years ROADMAP for Physics || How to Crack NEET 2026?
https://www.youtube.com/watch?v=_OR4wap3c4c,https://i.ytimg.com/vi/_OR4wap3c4c/hqdefault.jpg,148048,9284,2024-05-24T13:30:15Z,Ye 4 ke Piche ka Raaz Kya Hai ⁉ #PW #Shorts #4SaalDumdaar
